source_entity,target_entity,source_field,target_field,relation_type,confidence,is_confirmed
RT_TRNTP_SBYD,RT_TRNTP,TRNTP_ID,TRNTP_ID,many_to_one,1.0,True
GS_BNKBR_ADDR_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BNKBR_U,GS_BNKBR,BNKBR_ID,BNKBR_ID,many_to_one,1.0,True
GS_BNKBR_U_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACC_INT_U,GS_ACC_INT,ACC_ID,ACC_ID,many_to_one,1.0,True
GS_ACC_INT_U,TH_UDFDICT,UDFDICT_ID,UDFDICT_ID,many_to_one,1.0,True
GS_ACC_INT_U_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACC_ROOT,GS_CUR,CUR_ID,CUR_ID,many_to_one,1.0,True
GS_ACC_ROOT_FILES,TH_ATTFSTORE,ACC_FILES_ID,ATTFSTORE_ID,many_to_one,1.0,True
GS_ACC_ROOT_FILES,GS_ACC_ROOT,ACC_ID,ACC_ID,many_to_one,1.0,True
GS_ACC_ROOT_FILES_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACC_U,GS_ACC,ACC_ID,ACC_ID,many_to_one,1.0,True
GS_ACC_U_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BLNGST_COMP_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BLNGST_SRV_TXID_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BNKBR_IDNT_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACCFMT_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACCGRP_2_ACC,GS_ACC,ACC_ID,ACC_ID,many_to_one,1.0,True
GS_ACCGRP_2_ACC,GS_ACCGRP,ACCGRP_ID,ACCGRP_ID,many_to_one,1.0,True
GS_ACCGRP_2_ACC_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_ACCGRP_2_ACCI,GS_ACC_INT,ACC_ID,ACC_ID,many_to_one,1.0,True
GS_BRNCHCAL_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BUDGCTS_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_BRNCHCAL,GS_CNTR,CNTR_ID_BRNCNTR,CNTR_ID,many_to_one,1.0,True
GS_BUDGCDS_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP,GS_PARTY_BASE,CMP_ID,PARTY_ID,many_to_one,1.0,True
GS_CMP_A,GS_PARTY_BASE_A,CMP_ID,PARTY_ID,many_to_one,1.0,True
GS_CMP_A,GS_PARTY_BASE_A,REV,REV,many_to_one,1.0,True
GS_CMP_ADDR,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_ADDR_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_CTPHN,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_CTNADDR,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_CTNADDR_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CNTRP,GS_PARTY_BASE,CNTRP_ID,PARTY_ID,many_to_one,1.0,True
GS_CMP_CTPHN_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_FILES,TH_ATTFSTORE,CMP_FILES_ID,ATTFSTORE_ID,many_to_one,1.0,True
GS_CMP_FILES,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_IDNT,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_FILES_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_IDNT,GS_IDNTTP,IDNTTP_ID,IDNTTP_ID,many_to_one,1.0,True
GS_CMP_IDNT_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_NADDR,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_NADDR_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_SBY,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMP_SBYD,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMPGRP_2_CMP,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CMPGRP_2_CMP_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMPGRP_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CMP_U_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CNTR_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CNTR,GS_CUR,CUR_ID,CUR_ID,many_to_one,1.0,True
GS_CMP_U,GS_CMP,CMP_ID,CMP_ID,many_to_one,1.0,True
GS_CNTR_U_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
GS_CNTREG,GS_CUR,CUR_ID,CUR_ID,many_to_one,1.0,True
GS_CNTREG_A,TH_REVDATEX,REV,REVDATEX_ID,many_to_one,1.0,True
