table,in_degree,out_degree,total_degree,entity_type,domain
TH_REVDATEX,451,6,457,table,
GS_CUR,88,1,89,table,
CS_CPW_FLTR_2_CUR,82,5,87,table,
TH_UDFDICT,80,3,83,table,
CS_CSH2ACC,59,3,62,table,
GS_QUOTPL,50,6,56,table,
GS_CMP,49,5,54,table,
CS_AB_FLTR_2_CMP,44,4,48,table,
CS_CSHFL,37,11,48,table,
TH_UDFDEF,42,5,47,table,
AA_LTRUL_2_BNKBR,42,4,46,table,
GS_CNTR,44,2,46,table,
GS_BNKBR,40,6,46,table,
CS_AB_FLTR_2_BNK,38,3,41,table,
TH_ALRT_2_USR,38,3,41,table,
TH_PROFILE,40,0,40,table,
GS_BNK,36,4,40,table,
TH_USR,36,1,37,table,
GS_BUDGCDS,35,2,37,table,
TH_ATTFSTORE,33,3,36,table,
CS_TRNTP,28,6,34,table,
DI_DI2ACC,31,1,32,table,
CS_FLOWCDS,30,1,31,table,
CS_B2FSC_2_FLOWCDS,28,2,30,table,
GS_FLDR,25,4,29,table,
CS_AB_FLTR_2_ACC,26,2,28,table,
RC_RC2ACC,25,1,26,table,
GS_ACC_CNTRP,18,8,26,table,
TH_SECPOL,22,1,23,table,
CS_RUL,17,5,22,table,
GS_BNKBRCT,17,3,20,table,
DI_TRNB,10,9,19,table,
DI_DI2PRTY_B,18,1,19,table,
TH_PRTLTRPT_FLS,16,3,19,table,
AA_ACCAU,5,13,18,table,
DI_BLSN,14,4,18,table,
PY_PAYTF,3,14,17,table,
DI_OUTFTR,13,4,17,table,
GS_INDXRT,15,2,17,table,
DI_ACRIN,13,4,17,table,
DI_TB,9,7,16,table,
DI_MF,9,7,16,table,
TH_OPREG,13,3,16,table,
DI_TL,9,7,16,table,
CS_SP,4,11,15,table,
DI_TD,8,7,15,table,
TH_STRUCTR,15,0,15,table,
DI_BC,8,7,15,table,
DI_MFLFIL,11,4,15,table,
GS_ACC,10,5,15,table,
GS_EMPL,10,5,15,table,
DI_DC,8,7,15,table,
DI_ML,8,7,15,table,
CS_RPT_BA_F,5,10,15,table,
DI_SL,8,7,15,table,
GS_NADDRTP,14,0,14,table,
CS_CPW_FLTR,8,6,14,table,
AA_CORRHST,5,9,14,table,
DI_AUTHLN_SCHDL,11,3,14,table,
GS_CNTRP,11,3,14,table,
CS_ACCPL,7,7,14,table,
TH_ENT_COND,12,2,14,table,
DI_TRNTP,9,5,14,table,
CS_BKDRL,2,11,13,table,
CS_CMSN,8,5,13,table,
PY_PAYTM,1,12,13,table,
CS_BKTRN,4,9,13,table,
RC_STMBNK,5,8,13,table,
DI_DI2CMP,12,1,13,table,
CS_DBTINTTERM,2,11,13,table,
DI_FNLINE,8,5,13,table,
DI_FINLINE_DTLS,5,8,13,table,
CS_BLTF,3,10,13,table,
GS_BNKSTTP,11,1,12,table,
CS_CMSNRL,2,10,12,table,
CS_CRDINTTERM,2,10,12,table,
AA_LTRUL,7,5,12,table,
PY_MASPAYTM,5,7,12,table,
CS_AVCDTN,2,9,11,table,
GS_IDNTTP,11,0,11,table,
CS_CSH_R_F,8,3,11,table,
DI_TRSR,7,4,11,table,
DI_CRLNF,7,4,11,table,
GS_ACC_BASE,8,3,11,table,
CS_INTC_CHRT,7,4,11,table,
DI_PMNSCH_B,9,2,11,table,
GS_ACC_IDNT,9,2,11,table,
GS_ACCFMT,10,1,11,table,
CS_ATCSPLTRM,1,10,11,table,
DI_MF_FS,0,10,10,table,
GS_PRTFL,10,0,10,table,
